encoder_width,batch_size,test_acc,median_epoch_s,mean_inf_per_sample_ms,energy_J
1024,1,70.98056537102474,26.6319025000048,0.915990680111749,2.5227193049411478e-06
1024,16,77.69434628975264,1.7791709000011906,0.060515801059934766,2.522865289185876e-06
1024,64,77.51766784452296,1.07742199999484,0.05233122105660523,2.5228470635237865e-06
1024,256,65.37102473498233,1.0263162000046577,0.05491017876346943,2.5235152592692502e-06
2048,1,72.48233215547704,26.755693200000678,0.8384470406797544,5.04681069313389e-06
2048,16,80.52120141342756,1.9615618999960134,0.0763653168940462,5.046839946628249e-06
2048,64,78.31272084805654,1.8670108000005712,0.09970149016503961,5.04675039409024e-06
2048,256,73.23321554770318,1.7591216000000713,0.09790172968690868,5.04666231948259e-06
4096,1,68.19787985865725,27.906269899998733,0.8816184628922329,1.0096158325821483e-05
4096,16,81.53710247349824,3.87709840000025,0.19522764085797437,1.0096181953396272e-05
4096,64,80.43286219081273,3.3911239999943064,0.18606558160909284,1.009553117740314e-05
4096,256,75.97173144876325,23.113216500001727,0.409823236564599,1.009521282888671e-05
8192,1,67.84452296819788,30.189320400000724,0.9113946996510252,2.0191076491699365e-05
8192,16,78.886925795053,7.245870700004161,0.3841145686865403,2.0197214984036293e-05
8192,64,80.03533568904594,6.349611300000106,0.3593181568269891,2.0196589809195686e-05
8192,256,76.36925795053003,109.61120609998761,3.66933895799865,2.0196745756596374e-05
